unique_well,treatment,mu,best.model,best.se,best.R2,nobs.exp
1_A10_12,blank_blank,-0.052878229590601226,gr,0.02295478686964536,0.2898692985492909,15
1_A10_14,blank_blank,-0.019035538810191197,gr,0.02535113295156478,0.04487599756289218,14
1_A10_20,blank_blank,-0.03294562145225318,gr,0.034939952350530476,0.059714848351715144,16
1_A10_25,blank_blank,-0.018277033029528125,gr,0.03603051579660331,0.025086299802373646,12
1_A10_30,blank_blank,-0.21861889806481774,gr,0.07161137018836149,0.4823990821172609,12
1_A10_36,blank_blank,0.048729256338703744,gr,0.04668680712537411,0.09823874199715532,12
1_A10_38,blank_blank,-0.07556690676516085,gr,0.06170845552077887,0.1304041455379109,12
1_A10_42,blank_blank,0.059426777906523155,gr,0.13077621157409913,0.049089274906672475,6
1_A11_12,blank_blank,-0.013791584171817183,gr,0.016651357333418392,0.05012475297101182,15
1_A11_14,blank_blank,-0.10995998040111597,gr.flr,0.050348685493894214,0.4435103081322015,9
1_A11_20,blank_blank,-0.17386111513330033,gr.flr,0.06522314683163744,0.6186595845048972,9
1_A11_25,blank_blank,-0.014506019414982179,gr,0.06021419066329977,0.005770130142835672,12
1_A11_30,blank_blank,-0.021065490326253933,gr,0.04996820947259371,0.017462432262202787,12
1_A11_36,blank_blank,-0.021362514006392268,gr,0.07336033607822304,0.008408430179747906,12
1_A11_38,blank_blank,5.344007549456315e-4,gr,0.05778635611588819,8.552238278225488e-6,12
1_A11_42,blank_blank,-0.07427900330231826,gr,0.16614176996516927,0.047592371244928766,6
1_A12_12,blank_blank,-0.0068089403777826475,gr,0.022201833414076395,0.007183022487201041,15
1_A12_14,blank_blank,-7.614635082344122e-4,gr,0.026685208960486814,6.784943901716467e-5,14
1_A12_20,blank_blank,-0.017801156363095285,gr,0.04235665004408272,0.012458918814700626,16
1_A12_25,blank_blank,0.06832467595214481,gr,0.050684995297143036,0.15377393810819495,12
1_A12_30,blank_blank,-0.5808042141295598,gr.flr,0.26916898697433583,0.6575157773415757,4
1_A12_36,blank_blank,-0.012025884540867341,gr,0.03782220268822773,0.010008566089366178,12
1_A12_38,blank_blank,0.02455894575206166,gr,0.05069937376469035,0.02292669211490972,12
