unique_well,treatment,mu,best.model,best.se,best.R2,nobs.exp
1_A12_42,blank_blank,-0.07368472651862092,gr,0.11586274895717538,0.09182805498388225,6
1_A1_12,blank_blank,-0.09525712761915472,gr.flr,0.045092476781500565,0.44258926052980385,9
1_A1_14,blank_blank,-0.12458851739414015,gr.flr,0.06217842568870684,0.4285642240531342,7
1_A1_20,blank_blank,-0.06399415793940993,gr,0.03909791467457345,0.16062137475166471,16
1_A1_25,blank_blank,-0.0880094748474415,gr,0.056054134737724956,0.19776343821836073,12
1_A1_30,blank_blank,-0.030337331706067713,gr,0.0443365493470688,0.04472588974460501,12
1_A1_36,blank_blank,0.01769757476313333,gr,0.03939160573612306,0.019785242564415717,12
1_A1_38,blank_blank,-0.020341705304254394,gr,0.0656107429154024,0.009520728855684668,12
1_A1_42,blank_blank,-0.15065458036454968,gr,0.24048919136069485,0.08934447320212757,6
1_A2_12,blank_blank,-0.06514954987209814,gr,0.018996720141678743,0.4749930697993182,15
1_A2_14,blank_blank,-0.04759983041717955,gr,0.022962583270165923,0.2636699340146649,14
1_A2_20,blank_blank,-0.015364835600335813,gr,0.03825098514015927,0.011393729670828856,16
1_A2_25,blank_blank,-0.11274508405577911,gr,0.06938831790782733,0.20886783010527088,12
1_A2_30,blank_blank,-0.12228374955035595,gr,0.04360711603585525,0.44020318814931036,12
1_A2_36,blank_blank,0.03468434287178387,gr,0.03833598328932395,0.07566308184198312,12
1_A2_38,blank_blank,-0.10937196495791826,gr,0.030928288725384053,0.5556637086531594,12
1_A2_42,blank_blank,0.05095160722595525,gr,0.16316189175369136,0.023798939007175668,6
1_A3_12,blank_blank,-0.00892079728273269,gr,0.018346731684239056,0.01786155564001124,15
1_A3_14,blank_blank,-0.02179639696649847,gr,0.02260376250312011,0.07191422688978677,14
1_A3_20,blank_blank,-0.050596408668953825,gr,0.029828654039348153,0.17047917237730348,16
1_A3_25,blank_blank,-0.043214694044749855,gr,0.040138945266351415,0.10387254140795965,12
1_A3_30,blank_blank,-0.07244826348192225,gr,0.04020650732411329,0.24510399548272654,12
1_A3_36,blank_blank,-0.006968211247308591,gr,0.04560429860666731,0.0023292617212129496,12
1_A3_38,blank_blank,0.0013898782259531366,gr,0.04377488694499397,1.0079979694410657e-4,12
1_A3_42,blank_blank,-0.061967699193740955,gr,0.11060543281527294,0.07276268759982862,6
1_A4_12,blank_blank,-0.0549294355753062,gr,0.022867346181953248,0.3074068690571795,15
1_A4_14,blank_blank,-0.025037196980754343,gr,0.019547082815272628,0.12027447100836419,14
1_A4_20,blank_blank,-0.2767905220886171,gr.flr,0.20730284421011064,0.26062068744204814,5
1_A4_25,blank_blank,-0.08759202623000778,gr,0.04287971803069998,0.2944220365363559,12
1_A4_30,blank_blank,-0.2599974403344874,gr.flr,0.09066539725379784,0.6628628526273614,5
1_A4_36,blank_blank,-0.04467540604644874,gr,0.07877921917657663,0.03115779546785935,12
1_A4_38,blank_blank,-0.03624130236873351,gr,0.061049770880524046,0.03404068950619665,12
1_A4_42,blank_blank,-0.19976280868100016,gr,0.08590621659482223,0.5747980815237008,6
1_A5_12,blank_blank,-0.11084197675820852,gr.flr,0.05852327058488882,0.414378349075334,8
1_A5_14,blank_blank,-0.017492164520676406,gr,0.024856372151937534,0.03963393398536219,14
1_A5_20,blank_blank,-0.036040654405790816,gr,0.04217362797208814,0.04957830950228026,16
1_A5_25,blank_blank,0.04693428715349137,gr,0.053014103843500276,0.07268191058904605,12
1_A5_30,blank_blank,-0.11994989189489451,gr,0.047779775858467134,0.386596411226793,12
1_A5_36,blank_blank,-0.0837304880907354,gr,0.06013468085662922,0.16238993630226817,12
1_A5_38,blank_blank,-0.08367719850443658,gr,0.04847857695793437,0.22954254767469273,12
1_A5_42,blank_blank,-0.28911316572207096,gr,0.1836762666287756,0.3824865029886445,6
1_A6_12,blank_blank,-0.017762540241267263,gr,0.016163352867156457,0.08500108475370671,15
1_A6_14,blank_blank,-0.04554806516189873,gr,0.02220034818865222,0.2596888658981539,14
1_A6_20,blank_blank,-0.12036256362234773,gr.flr,0.028686588370835542,0.6793376660878795,13
1_A6_25,blank_blank,-0.04002088290787545,gr,0.04922953972031324,0.06199101921732986,12
1_A6_30,blank_blank,-0.039931858035677524,gr,0.06826593321734156,0.03308412583984388,12
1_A6_36,blank_blank,-0.07220546217081264,gr,0.03278829044950834,0.3265794849504765,12
1_A6_38,blank_blank,-0.43464214892605135,gr.flr,0.2327908357677702,0.5226255740776468,4
1_A6_42,blank_blank,0.12836832813798202,gr,0.15728377220501133,0.14275544467115375,6
1_A7_12,blank_blank,-0.025352005364869666,gr,0.01937217501004998,0.11640645194372179,15
1_A7_14,blank_blank,-0.04448108363560656,gr,0.0233044986885692,0.23288866093898564,14
1_A7_20,blank_blank,0.015339051424656983,gr,0.027354908650362456,0.021966069599910876,16
1_A7_25,blank_blank,-0.0497344888645244,gr,0.03785870188337664,0.1471778204842954,12
1_A7_30,blank_blank,-0.011433944462520143,gr,0.03908917117701568,0.008483579688828624,12
1_A7_36,blank_blank,-0.0012939032477399465,gr,0.04712110992980041,7.539452996119245e-5,12
1_A7_38,blank_blank,-0.039871408122446265,gr,0.04923568597903199,0.061542850599509036,12
1_A7_42,blank_blank,-0.26417618872582654,gr,0.09380089953156961,0.6647622043154855,6
1_A8_12,blank_blank,-0.007050506454919826,gr,0.01519068359908747,0.016300653783563157,15
1_A8_14,blank_blank,-0.048321025543152304,gr,0.014004137114025901,0.4980303393838479,14
1_A8_20,blank_blank,-0.11276918635340565,gr.flr,0.06833362416881297,0.35476096427836823,9
1_A8_25,blank_blank,-0.07045203055330795,gr,0.049490325285076936,0.16850282649184967,12
1_A8_30,blank_blank,-0.12324319264990198,gr,0.036337468347155115,0.5349517210977863,12
1_A8_36,blank_blank,-0.052958049384294485,gr,0.030960386892620467,0.22635614239460977,12
1_A8_38,blank_blank,-0.14804216661257966,gr,0.06608666355457632,0.3341388061566689,12
1_A8_42,blank_blank,-0.15535688725841795,gr,0.07372844651783589,0.5260708776469056,6
1_A9_12,blank_blank,-0.023041244336950796,gr,0.020528495768528648,0.08834551825704073,15
1_A9_14,blank_blank,-0.010101705281384777,gr,0.023969581899509002,0.014584998656621107,14
1_A9_20,blank_blank,-0.16754190424996737,gr.flr,0.15315659980223834,0.2835098017146269,6
1_A9_25,blank_blank,-0.025826855093674307,gr,0.06661226157652318,0.014809987588260132,12
1_A9_30,blank_blank,-0.048544421234752916,gr,0.031829725922324026,0.1887079079388797,12
1_A9_36,blank_blank,-0.08158915566321044,gr,0.05641114151557184,0.1729981907382916,12
1_A9_38,blank_blank,-0.0335139818224088,gr,0.07903354987001361,0.01766400340714569,12
1_A9_42,blank_blank,-0.17735230474280855,gr,0.12542541565458679,0.3332681373973011,6
1_B10_12,blank_blank,-0.036701040209479854,gr,0.012734110785248647,0.389858338415358,15
1_B10_14,blank_blank,-0.026710585620642546,gr,0.01577058273456074,0.1929305490579728,14
1_B10_20,blank_blank,-0.013953119821711596,gr,0.02490989784338214,0.021920224492205764,16
1_B10_25,blank_blank,-0.1346465403332258,gr,0.042809294229733674,0.49730269853702336,12
1_B10_30,blank_blank,-0.025953963090534948,gr,0.045830821865811756,0.031072996374951534,12
1_B10_36,blank_blank,-0.0024966432826488577,gr,0.04281928681386567,3.398494033255428e-4,12
1_B10_38,blank_blank,0.005074028506700131,gr,0.03845149955636283,0.0017382956917210146,12
1_B10_42,blank_blank,-0.19475528767126019,gr,0.122038229271823,0.38901003596477657,6
1_B11_12,blank_blank,-0.047683688654746155,gr,0.019128256587288225,0.32341891184106364,15
1_B11_14,blank_blank,-0.01792425843913397,gr,0.02015010524273022,0.06186056772664972,14
1_B11_20,blank_blank,-0.04345688133697722,gr,0.027647194888553647,0.1500042849721649,16
1_B11_25,blank_blank,-0.09960538134875506,gr,0.03906507381545915,0.39398059802489527,12
1_B11_30,blank_blank,-0.0746185114229872,gr,0.05204904294392263,0.17048686755650666,12
1_B11_36,blank_blank,-0.06546483333055571,gr,0.041456256249257,0.19959356834738884,12
1_B11_38,blank_blank,-0.05000648531248905,gr,0.03762228725306549,0.15014389301310294,12
1_B11_42,blank_blank,-0.22037319743169873,gr,0.15067030470660767,0.3484549671593997,6
1_B12_12,blank_blank,-0.05071439455894211,gr,0.021487994576618104,0.2999536553497536,15
1_B12_14,blank_blank,-0.04651001107577469,gr,0.020943770372544857,0.29126380427737253,14
1_B12_20,blank_blank,-0.07045219830980098,gr,0.027941767681707315,0.3122902813727201,16
1_B12_25,blank_blank,-0.0661760691514195,gr,0.04413648030980188,0.18354370038655976,12
1_B12_30,blank_blank,0.03150847503404899,gr,0.05451368841635239,0.03232749370036214,12
1_B12_36,blank_blank,-0.04268010321171897,gr,0.05202722174047732,0.06305285335546995,12
1_B12_38,blank_blank,-0.09713597480464703,gr,0.05950444560046707,0.21040871554228102,12
1_B12_42,blank_blank,-0.22123176536429728,gr,0.08526480415790892,0.627288956543177,6
1_B1_12,blank_blank,-0.12509966317020182,gr.flr,0.04489319935745431,0.590444695288395,8
1_B1_14,blank_blank,-0.03462570645158112,gr,0.018971435815347257,0.21728090710506331,14
1_B1_20,blank_blank,-0.022540511104622733,gr,0.0228539962455308,0.06496830163618061,16
1_B1_25,blank_blank,-0.034511620824629635,gr,0.05193092452432441,0.04229698939347448,12
1_B1_30,blank_blank,-0.04838543571420713,gr,0.04324408842151955,0.11126261625173661,12
1_B1_36,blank_blank,-0.07528037982454064,gr,0.0658038884465645,0.11572986486342618,12
1_B1_38,blank_blank,-0.0027190473411203542,gr,0.07335904270252117,1.3736198806690858e-4,12
1_B1_42,blank_blank,-0.2681806834969323,gr,0.16385177326626443,0.4010968774486581,6
1_B2_12,blank_blank,0.015169890081692844,gr,0.02980409732703842,0.01953889237779516,15
1_B2_14,blank_blank,-0.12625080719843673,gr.flr,0.04864454047078383,0.5691485827783795,7
1_B2_20,blank_blank,-0.05758409465140247,gr,0.032546312555574435,0.18274003154247997,16
1_B2_25,blank_blank,-0.027278464387968514,gr,0.0730455729344521,0.013754258378123274,12
1_B2_30,blank_blank,-0.10862128570218856,gr,0.0425854843927504,0.39415565043256784,12
1_B2_36,blank_blank,-0.05942136272444591,gr,0.06061677451607355,0.08767009528327152,12
1_B2_38,blank_blank,-0.04733924566553716,gr,0.052262939307116285,0.07582448391905017,12
1_B2_42,blank_blank,-0.3857272120466727,gr,0.1797555783589044,0.5351346015248437,6
1_B3_12,blank_blank,-0.08352774960198889,gr.flr,0.05099333046868304,0.3603310328968006,9
1_B3_14,blank_blank,-0.06540803442746596,gr,0.0287560630716306,0.3012581724423602,14
1_B3_20,blank_blank,-0.04405705070152186,gr,0.025859456048582776,0.17172665842047274,16
1_B3_25,blank_blank,-0.04052159063475337,gr,0.024039915316799526,0.22125868179271446,12
1_B3_30,blank_blank,0.0018657412681693595,gr,0.06097126657776266,9.362929153000632e-5,12
1_B3_36,blank_blank,-0.12448984237717067,gr,0.039472140713644056,0.49866823018387496,12
1_B3_38,blank_blank,0.016943044932691213,gr,0.048024375604325695,0.012293830963665209,12
1_B3_42,blank_blank,-0.038968933045821844,gr,0.06889078716246243,0.07406850853289937,6
1_B4_12,blank_blank,-0.049905091535273276,gr,0.023934166399686794,0.25061832254628147,15
1_B4_14,blank_blank,-0.004541731312707189,gr,0.017162092769973124,0.005802216502459601,14
1_B4_20,blank_blank,-0.07973243384659318,gr,0.022277673965536055,0.4777960021667259,16
1_B4_25,blank_blank,0.006260401089240958,gr,0.05441415796019028,0.0013219225382411492,12
1_B4_30,blank_blank,0.04498735126740634,gr,0.029559279181657284,0.18806726905913784,12
1_B4_36,blank_blank,-0.09266025617056357,gr,0.03919268304970377,0.35854474922003177,12
1_B4_38,blank_blank,0.12865233264140333,gr,0.035948662203787174,0.5615508540468221,12
1_B4_42,blank_blank,-0.13274597956240025,gr,0.15570472417099784,0.15376879734264914,6
1_B5_12,blank_blank,-0.0049240477241595275,gr,0.027040380157086683,0.0025443050675656442,15
1_B5_14,blank_blank,-0.01771414870281957,gr,0.018513265329151627,0.07088627433655792,14
1_B5_20,blank_blank,-0.018776139715989123,gr,0.021838866274403863,0.05015093149962846,16
1_B5_25,blank_blank,-0.14670213853833092,gr,0.06610183442262377,0.3300034254812856,12
1_B5_30,blank_blank,-0.02075080629812972,gr,0.03793622093093231,0.02905081512558383,12
1_B5_36,blank_blank,-0.05721328914244973,gr,0.0440508182626542,0.14434011393602042,12
1_B5_38,blank_blank,-0.07982660382365299,gr,0.04647771692849372,0.22779263244417003,12
1_B5_42,blank_blank,-0.30882783722338525,gr,0.0935473955878865,0.7315178390170427,6
1_B6_12,blank_blank,-0.04627559107743782,gr,0.0191144337157477,0.3107516582041615,15
1_B6_14,blank_blank,-0.026486186453970533,gr,0.01848295234434389,0.14612060571443708,14
1_B6_20,blank_blank,-0.014232672123216389,gr,0.031593980496493694,0.01428847880490669,16
1_B6_25,blank_blank,-0.058479766124658696,gr,0.07662853852259198,0.05503582881929747,12
1_B6_30,blank_blank,-0.06771170662662365,gr,0.03368874081171764,0.28773824401842163,12
1_B6_36,blank_blank,-0.1128659214520677,gr,0.047781931073058934,0.3581324577546645,12
1_B6_38,blank_blank,-0.1062063190175473,gr,0.061675388595802835,0.2287138472307617,12
1_B6_42,blank_blank,-0.08874854395397296,gr,0.12557125530869442,0.11101381379412156,6
1_B7_12,blank_blank,-0.04114876048692627,gr,0.015617974559146021,0.3480987974617802,15
1_B7_14,blank_blank,-0.03367810549808577,gr,0.02107112228697873,0.17551741422484146,14
1_B7_20,blank_blank,-0.029283078711511586,gr,0.0251065771700424,0.08856388330436393,16
1_B7_25,blank_blank,-0.07195668570917667,gr,0.05341976242023954,0.15357690282039826,12
1_B7_30,blank_blank,-0.06264238291502534,gr,0.07130498066585086,0.07164882894156877,12
1_B7_36,blank_blank,-0.07942710249098339,gr,0.044991931225912565,0.23760192723189388,12
1_B7_38,blank_blank,-0.051308289955648595,gr,0.04208343350825565,0.12940963322929921,12
1_B7_42,blank_blank,-0.15489309011981794,gr,0.19037577392012098,0.14199429858787416,6
1_B8_12,blank_blank,-0.04509706171151829,gr,0.023567477736252472,0.21976256409464745,15
1_B8_14,blank_blank,-0.012448519411127868,gr,0.023853488617832434,0.022192374202864684,14
1_B8_20,blank_blank,-0.03298087810812497,gr,0.03617952284964305,0.05603101000815636,16
1_B8_25,blank_blank,-0.04543707337377189,gr,0.04629062738088118,0.08787935356038779,12
1_B8_30,blank_blank,-0.04592392105481152,gr,0.05126791791003147,0.0742790998124665,12
1_B8_36,blank_blank,-0.05238588697192784,gr,0.05553464565498206,0.08171090485832533,12
1_B8_38,blank_blank,-0.04431114360536935,gr,0.03995774966684121,0.10950980728405446,12
1_B8_42,blank_blank,-0.13656486262477968,gr,0.1728803463858743,0.13494866313523812,6
1_B9_12,blank_blank,-0.026796442663592945,gr,0.02154413144414205,0.10634626230933841,15
1_B9_14,blank_blank,-0.1824680973914801,gr.flr,0.08883132018962288,0.485619854408214,6
1_B9_20,blank_blank,-0.047836820447519426,gr,0.020262581638856438,0.28475054138706746,16
1_B9_25,blank_blank,-0.02977802957018309,gr,0.07363868349966052,0.016089242273850446,12
1_B9_30,blank_blank,-0.054737371443715495,gr,0.05877114876057634,0.07982009865793982,12
1_B9_36,blank_blank,-0.038728753715665344,gr,0.03536559855162403,0.10708202677919021,12
1_B9_38,blank_blank,-0.09670856600379062,gr,0.06397454143842556,0.1860094076027543,12
1_B9_42,blank_blank,-0.27933591969461774,gr,0.03507538423343784,0.9406733101335704,6
1_C10_12,48F_2,0.8321875999125318,gr.lag,0.029619988342103998,0.9928256831349332,9
1_C10_14,48F_2,1.1026913365123334,gr.lagsat,0.10515369758093011,0.9783512766798831,7
1_C10_20,48F_2,2.180869349479389,gr.lagsat,0.23933924919415875,0.9821744515436825,6
1_C10_25,48F_2,2.0411481610067663,gr.sat,0.198813936892953,0.9653842437561242,9
1_C10_30,48F_2,2.556760395614117,gr.sat,0.13517215617047545,0.9874148686479574,7
1_C10_36,48F_2,2.6037524709613615,gr.sat,0.0949439947695978,0.9948812661641425,6
1_C10_38,48F_2,1.7195941349107302,gr.sat,0.17929863397789977,0.9704548387426091,5
1_C10_42,48F_2,-0.4062738450509476,gr,0.3314673437702633,0.27303107919002867,6
1_C11_12,14C_8,2.3132252576731367,gr.lagsat,0.16162109169782551,0.9962995034969337,3
1_C11_14,14C_8,1.8247334962030872,gr.lagsat,0.23672295916355152,0.9807235258533351,5
1_C11_20,14C_8,2.252412662614812,gr.lagsat,0.18432246823784407,0.984097846502344,6
1_C11_25,14C_8,3.1250284242579722,gr.lagsat,0.14066628399742861,0.997440971971161,5
1_C11_30,14C_8,2.6923089064583805,gr.sat,0.1040904281781675,0.9965482448532837,6
1_C11_36,14C_8,2.5533482602064876,gr.sat,0.11727954457972868,0.9946054070793521,5
1_C11_38,14C_8,1.737398244980599,gr.sat,0.124185477130874,0.9802186769090045,5
1_C11_42,14C_8,-0.7656340677438785,gr,0.519694307091105,0.35174737919604515,6
1_C12_12,blank_blank,-0.06740271531946242,gr,0.02293780088914492,0.39911565604945,15
1_C12_14,blank_blank,-0.006916672590406487,gr,0.021093608006790037,0.008880501026966359,14
1_C12_20,blank_blank,-0.011318261516735607,gr,0.024335524633340763,0.015215671215781712,16
1_C12_25,blank_blank,-0.07000751367454863,gr,0.06184478700180321,0.1135848205222948,12
1_C12_30,blank_blank,-0.09853499304727237,gr,0.04224979895637836,0.3522962911002948,12
1_C12_36,blank_blank,-0.0695145378279236,gr,0.05827622073638974,0.12456409443106209,12
1_C12_38,blank_blank,-0.046255228991224195,gr,0.06826563651349375,0.04389576523242278,12
1_C12_42,blank_blank,-0.09947096418153656,gr,0.16047210194688963,0.08763953033358285,6
1_C1_12,blank_blank,-0.009454622950046874,gr,0.02176735079767731,0.014304630340816082,15
1_C1_14,blank_blank,-0.015082213451084544,gr,0.02351783789628578,0.03313743435478356,14
1_C1_20,blank_blank,-0.03604016809825353,gr,0.020017757240798247,0.18800454281710877,16
1_C1_25,blank_blank,-0.052698245114141055,gr,0.07386049673167487,0.04843998953071882,12
1_C1_30,blank_blank,-0.10044346145731724,gr,0.040952353556024154,0.37561237746870146,12
1_C1_36,blank_blank,-0.037124702104796105,gr,0.066085740001754,0.030592626113804644,12
1_C1_38,blank_blank,-0.05281844026089119,gr,0.063630725747695,0.06446131234724839,12
1_C1_42,blank_blank,-0.22326036631256604,gr,0.22361580852349555,0.19949143417103554,6
1_C2_12,6F_5,0.9355614959636077,gr.lag,0.057701083211627396,0.9767271286990323,9
1_C2_14,6F_5,1.551627790025685,gr.lagsat,0.0993884613046116,0.9916105151000608,6
1_C2_20,6F_5,2.5455962433840855,gr.lagsat,0.29250284910542745,0.9724479061843049,6
1_C2_25,6F_5,2.1603277839930617,gr.sat,0.1666080947196239,0.9746997539987634,8
1_C2_30,6F_5,2.44218111247037,gr.sat,0.10203951434915351,0.9932197643222207,8
1_C2_36,6F_5,2.6067986848167877,gr.sat,0.11638105537411651,0.99059960959452,7
1_C2_38,6F_5,1.6486972520661314,gr.sat,0.10881923296929291,0.9784694037427438,8
1_C2_42,6F_5,-0.42348370208083813,gr,0.275124859989769,0.3719841021346709,6
1_C3_12,30C_4,0.7509644018147519,gr.lag,0.053961900168111844,0.9651873733950697,10
1_C3_14,30C_4,1.0612942345346312,gr.lagsat,0.06434611176967667,0.9883736753926372,7
1_C3_20,30C_4,1.896803719106035,gr.lagsat,0.19438651489305858,0.9865466702824646,7
1_C3_25,30C_4,2.4946983201173567,gr.lagsat,0.2433549728682149,0.9787674441696865,6
1_C3_30,30C_4,2.5636004475362566,gr.lagsat,0.14975827760488408,0.9951156261504871,6
1_C3_36,30C_4,2.6288600467431897,gr.sat,0.1343949340387196,0.9907792388895363,6
1_C3_38,30C_4,1.6121295242305556,gr.sat,0.1370472178298983,0.9722224499329163,6
1_C3_42,30C_4,-1.0043082085236072,gr,0.491112975177456,0.5111145986675109,6
1_C4_12,6F_6,1.0907136587203121,gr.lagsat,0.12403752338634948,0.9671043215043409,7
1_C4_14,6F_6,2.5449656703004684,gr.lagsat,0.3295454871026983,0.9870545238254129,3
1_C4_20,6F_6,2.281523146534725,gr.lagsat,0.18525829742068586,0.9849141141849127,6
1_C4_25,6F_6,2.129311044885339,gr.sat,0.1979735001342115,0.9610062359966802,8
1_C4_30,6F_6,2.448734647584616,gr.sat,0.08920280514448353,0.9947781513816457,8
1_C4_36,6F_6,2.6701049626602624,gr.sat,0.14150870619032185,0.9891602754538054,6
1_C4_38,6F_6,1.9208609046737029,gr.sat,0.1012586554094594,0.9920670663059683,5
1_C4_42,6F_6,-0.6421456051789975,gr,0.2907641682037587,0.5494158456812677,6
1_C5_12,blank_blank,-0.04676493891235464,gr,0.016374057140444483,0.38554488790186237,15
1_C5_14,blank_blank,-0.02312177277499335,gr,0.016956064055052254,0.13416682347732378,14
1_C5_20,blank_blank,-0.0652717340872101,gr,0.03301143265151443,0.21829210120489184,16
1_C5_25,blank_blank,-0.29461848891524295,gr.flr,0.13822804007383113,0.6458508948843775,6
1_C5_30,blank_blank,-0.08319701744501405,gr,0.07213034941762189,0.11741795942874089,12
1_C5_36,blank_blank,-0.008155830234151215,gr,0.05446391997514667,0.002237411050108884,12
1_C5_38,blank_blank,0.05196195155069884,gr,0.047778198289573325,0.10576958654366397,12
1_C5_42,blank_blank,-0.15837910376292827,gr,0.28043652051174994,0.07384960032246335,6
1_C6_12,48F_7,1.1565291374039963,gr.lagsat,0.0930066629236877,0.9842582890511109,6
1_C6_14,48F_7,1.1995069640267018,gr.lagsat,0.09246154092382676,0.9841011062884495,7
1_C6_20,48F_7,2.115388507240499,gr.lagsat,0.23160103308554075,0.9828882759646179,6
1_C6_25,48F_7,2.1349843853809873,gr.sat,0.19853389899339846,0.9630093225854129,8
1_C6_30,48F_7,2.372455016281938,gr.sat,0.07857229212644391,0.9943059013709302,8
1_C6_36,48F_7,2.6195180558879003,gr.sat,0.0990221645811518,0.9932382066695348,7
1_C6_38,48F_7,1.9998860490947252,gr.sat,0.1447902534936755,0.9830514968519267,5
1_C6_42,48F_7,-0.8084556952634846,gr,0.34710764323812854,0.5755880159531107,6
1_C7_12,48F_8,0.835936651786894,gr.lag,0.06247336510312829,0.9636299592853335,10
1_C7_14,48F_8,1.4501782209654195,gr.lagsat,0.11711183217489712,0.9867452630471539,6
1_C7_20,48F_8,2.0322172057347174,gr.lagsat,0.1716353500774695,0.9823935910851109,7
1_C7_25,48F_8,2.6988646865643524,gr.lagsat,0.2614958115791801,0.9771285105222652,6
1_C7_30,48F_8,2.4464966720295447,gr.sat,0.09912131270007427,0.9928191385947978,7
1_C7_36,48F_8,2.380285906280265,gr.sat,0.08504012175388932,0.9943245959642824,7
1_C7_38,48F_8,2.072507540447071,gr.sat,0.31622030609651514,0.9154025930472155,4
1_C7_42,48F_8,-0.7940985703123772,gr,0.4503356663999841,0.43736435832251574,6
1_C8_12,48F_4,0.8373987215615867,gr.lag,0.052368540685308655,0.974948476832515,10
1_C8_14,48F_4,1.4293561217560107,gr.lagsat,0.1148512371034763,0.9874330117548495,6
1_C8_20,48F_4,2.0430627751002812,gr.lagsat,0.2422748315024615,0.9792170976512604,6
1_C8_25,48F_4,2.196146902897005,gr.sat,0.21675233357164858,0.9556641013750762,8
1_C8_30,48F_4,2.487640033287084,gr.sat,0.08159112802749097,0.9953737264773369,7
1_C8_36,48F_4,2.5166607674577604,gr.sat,0.10751936696699181,0.9917614423306661,7
1_C8_38,48F_4,2.1616346742601436,gr.sat,0.3620981579971424,0.9139640007451891,4
1_C8_42,48F_4,-0.6538600447598073,gr,0.46405424787126687,0.33169902663948203,6
1_C9_12,30C_1,0.7344146386342277,gr.lag,0.03184001668252211,0.9873642005240332,10
1_C9_14,30C_1,1.2921448892113436,gr.lagsat,0.13301271214118193,0.9814708309711498,6
1_C9_20,30C_1,2.15493375251875,gr.lagsat,0.2921065819785806,0.970103763394649,6
1_C9_25,30C_1,2.6792422226061836,gr.lagsat,0.2879074717476074,0.9710460467420715,6
1_C9_30,30C_1,2.452324743847989,gr.sat,0.07728280090032062,0.9955826803608044,7
1_C9_36,30C_1,2.3023759449622894,gr.sat,0.11449827039984335,0.988386428670809,7
1_C9_38,30C_1,2.144580911560347,gr.sat,0.4319753121174808,0.8515489570765916,4
1_C9_42,30C_1,-0.6860648464509969,gr,0.5006129423515634,0.31951174636760793,6
1_D10_12,14C_3,1.605289029800018,gr.lagsat,0.12791629148276268,0.9945678144643207,5
1_D10_14,14C_3,1.2534303753576483,gr.lagsat,0.09833669370877914,0.9809462178853947,7
1_D10_20,14C_3,2.9358544789466747,gr.lagsat,0.16669874629412607,0.9927538965421854,5
1_D10_25,14C_3,2.5418701844102323,gr.sat,0.16712600431886812,0.9796912435650773,7
1_D10_30,14C_3,2.8603752249970316,gr.sat,0.17976088296576426,0.989291179550133,5
1_D10_36,14C_3,3.2722398438713425,gr.sat,0.1270893816934529,0.9947549365424544,5
1_D10_38,14C_3,2.1297184963511144,gr.sat,0.22637326626888676,0.9640898188295538,5
1_D10_42,14C_3,-1.0778522526621883,gr,0.5058004076633474,0.5316757040989804,6
1_D11_12,6F_3,1.15553394895367,gr.lagsat,0.08487985898419553,0.9883056010392887,6
1_D11_14,6F_3,1.536758905290908,gr.lagsat,0.13380040777432442,0.9842605491973535,6
1_D11_20,6F_3,3.117355428048016,gr.lagsat,0.24385028047131183,0.9890789222370123,5
