mu,se,unique_well
0.2707198287097922,0.034039421152048485,1_C2_12
0.3223964880150368,0.0399245911014117,1_D2_12
0.3316936212926059,0.04618127432322731,1_E2_12
0.23404829828986484,0.02839297711487258,1_F2_12
0.22475739826933216,0.02929427052045833,1_G2_12
0.3808660480536312,0.04169249553285842,1_C2_14
0.4266937582851903,0.054311208671091314,1_D2_14
0.4364533211308591,0.052429725561418686,1_E2_14
0.26135816351099234,0.030192223198005227,1_F2_14
0.28921297097092963,0.03057710173733772,1_G2_14
0.6258141117525061,0.06551499011759021,1_C2_20
0.8168064436730272,0.06398900641330776,1_D2_20
0.8452373389831074,0.07125983387410055,1_E2_20
0.5886386605389614,0.053603654249005185,1_F2_20
0.5688356113540486,0.053950465461626004,1_G2_20
0.9382193383558088,0.07235683469514036,1_C2_25
0.9264897269819046,0.0702634825953017,1_D2_25
0.9676711477606891,0.04791925514267838,1_E2_25
0.8843235614186967,0.08109808575875345,1_F2_25
0.8903296405288802,0.09185428806322327,1_G2_25
1.0606268943469064,0.0443151693011497,1_C2_30
1.0380411080294831,0.05313478925419764,1_D2_30
1.0644795401796205,0.055446341444170405,1_E2_30
1.0393618837138476,0.056502293394910655,1_F2_30
0.9779233593095378,0.06059105475349719,1_G2_30
1.132119383660447,0.05054390146394597,1_C2_36
1.3404485257770045,0.07064501782171126,1_D2_36
1.2786200189359846,0.06428795249851595,1_E2_36
0.9959361271042086,0.03851245292922437,1_F2_36
1.1775236087449275,0.057187358908487244,1_G2_36
0.7160208023709759,0.04725979197870363,1_C2_38
0.7261147928991308,0.05760752748836433,1_D2_38
0.8811174008391336,0.05804129890115802,1_E2_38
0.6676537039706246,0.05320590255808561,1_F2_38
0.6932450629449679,0.061733422354100786,1_G2_38
0.22604285160570003,0.026306053680587006,2_C2_12
0.3012419264037965,0.04059418415127906,2_D2_12
0.31579953404099376,0.054921329653255,2_E2_12
0.2564536590413664,0.02725593374175639,2_F2_12
0.23713659798306833,0.03170981001983225,2_G2_12
0.30780582624318786,0.030338473043140367,2_C2_14
0.42478610607896955,0.043203034839572683,2_D2_14
0.4325581815471951,0.047467481368210857,2_E2_14
0.3294444097132987,0.03984554977267089,2_F2_14
0.3491788343088261,0.04539193848483105,2_G2_14
0.5830829732534993,0.051276782692568974,2_C2_20
0.7532589346437907,0.060099330853827834,2_D2_20
