mu,se,unique_well
0.6233551955296485,0.08299356045217904,1_C2_12
0.7423448289362062,0.0919298572266441,1_D2_12
0.7637522444155146,0.10633641418191939,1_E2_12
0.5389159100570239,0.06816318272787819,1_F2_12
0.5175228401402698,0.06743643047117129,1_G2_12
0.8769760403800189,0.09600060761646477,1_C2_14
0.9824978732762347,0.12505628270029165,1_D2_14
1.0049700637789392,0.12072405973252062,1_E2_14
0.6017991586173747,0.07871599108416917,1_F2_14
0.6659371481124606,0.07040646391480161,1_G2_14
1.4409892538407154,0.15085395974013507,1_C2_20
1.8807643123252904,0.1473404948222551,1_D2_20
1.9462288534162473,0.16408213573034164,1_E2_20
1.3553897982950291,0.12342714107511152,1_F2_20
1.3097916099853362,0.12422568396646193,1_G2_20
2.160327791897013,0.16660809779508937,1_C2_25
2.1333188619277133,0.1617881478279058,1_D2_25
2.22814260014892,0.11033871179826495,1_E2_25
2.0362281622283542,0.1867356727878432,1_F2_25
2.0500576402370836,0.211502729493223,1_G2_25
2.4421811172433077,0.10203951497332202,1_C2_30
2.3901747351617235,0.12234737348522609,1_D2_30
2.4510514472146,0.12766984298424075,1_E2_30
2.3932164942458845,0.13010200660145207,1_F2_30
2.2517491955458855,0.1395164457034868,1_G2_30
2.606798689642618,0.11638105419474376,1_C2_36
3.0864914361969347,0.16266513245698283,1_D2_36
2.9441261160251,0.1480276354579275,1_E2_36
2.293225306966557,0.08867775487198913,1_F2_36
2.711343046063862,0.13167881611790969,1_G2_36
1.6486972498150896,0.10881923109382483,1_C2_38
1.671938503508953,0.13264568253501272,1_D2_38
2.028843261201936,0.1336446627792728,1_E2_38
1.5373276299281602,0.1225104556735593,1_F2_38
1.5962538698429034,0.14214591328669285,1_G2_38
0.5204827009436945,0.06122130079644478,2_C2_12
0.6936347818539206,0.0934716028435516,2_D2_12
0.7271547854310051,0.12646108840253764,2_E2_12
0.5905061683536927,0.0695554954000921,2_F2_12
0.5460269800941902,0.07475593558939413,2_G2_12
0.7087487808457648,0.0698569947863964,2_C2_14
0.9780950846213564,0.09928550359847615,2_D2_14
0.9960011965955436,0.10929806492611104,2_E2_14
0.7585733595034745,0.0917478703253843,2_F2_14
0.8040136193628503,0.10451887419819879,2_G2_14
1.342597173052144,0.11806938261395188,2_C2_20
1.734441392247685,0.13838389368552012,2_D2_20
1.8466603845295035,0.19890391832389168,2_E2_20
1.2870456638833918,0.11395867650552274,2_F2_20
1.3300087112507526,0.12563735765011821,2_G2_20
2.254641211600195,0.1972658087814856,2_C2_25
2.4933495655861027,0.16919204679411284,2_D2_25
2.3740438803921022,0.2054169649699077,2_E2_25
2.098958626564048,0.1624780808987445,2_F2_25
2.0829909537709064,0.15726579783950934,2_G2_25
2.452010266610712,0.1318965348021149,2_C2_30
2.5213826847097818,0.13832536286746833,2_D2_30
2.4839816439673297,0.13540678343607881,2_E2_30
2.27762873517342,0.10149239324376261,2_F2_30
2.485910165641469,0.1128649244398708,2_G2_30
2.491912305306804,0.07580732461919731,2_C2_36
2.543823593623381,0.09274226844234021,2_D2_36
3.0519824928569013,0.15240124000690994,2_E2_36
2.540099333830546,0.07781699517011477,2_F2_36
2.71341366369906,0.07482978984833899,2_G2_36
2.3545636325163857,0.36239577969263603,2_C2_38
1.889978281988109,0.22341767700218107,2_D2_38
2.383208309542493,0.3306128166602867,2_E2_38
2.0586952658129976,0.24333518462629328,2_F2_38
1.7694059981552905,0.09812594620253894,2_G2_38
0.5487816989030451,0.06036663352107674,1_C3_12
0.5304678275754543,0.0647968469103149,1_D3_12
0.6354957152251175,0.07189447999036572,1_E3_12
0.5946054899312984,0.06443973732771602,1_F3_12
0.6170773711522148,0.0718964995850574,1_G3_12
0.6434839657657174,0.07356662102574249,1_C3_14
0.6440530294138679,0.06688328762791851,1_D3_14
