unique_well,treatment,mu,best.model,best.se
2_D9_42,14C_1,-0.8051927463278263,gr,0.6959723323903648
2_E10_42,14C_8,1e-4,gr.lagsat,2.656639657887696
2_E11_42,30C_6,-0.5232723539642683,gr,0.6978918015846489
2_E2_42,14C_4,1e-4,gr.lagsat,2.573478933613029
2_E3_42,6F_4,1e-4,gr.lagsat,4.084657713994038
2_E4_42,14C_7,1e-4,gr.lagsat,1.1979378190694052
2_E5_42,30C_3,-0.7180314176899222,gr,0.6491888997626843
2_E6_42,6F_7,1e-4,gr.lagsat,1.4369607800409605
2_E7_42,14C_1,1e-4,gr.lagsat,2.6357280928358358
2_E8_42,14C_6,-0.9707506058924092,gr,0.6430656143267899
2_E9_42,48F_1,-0.778407667272269,gr,0.5661015094918044
2_F10_42,6F_2,-0.6002838333859668,gr,0.6768928524048765
2_F11_42,30C_1,-0.4030392048128054,gr,0.6104665708067889
2_F2_42,6F_8,-0.7082243945258021,gr,0.3896581952410675
2_F3_42,6F_7,-0.47478002455792734,gr,0.3577709177357215
2_F4_42,48F_5,-0.6309670802226806,gr,0.5432345093323899
2_F5_42,48F_1,1e-4,gr.lagsat,7.036141958352183
2_F6_42,30C_7,-0.6112576109327276,gr,0.5371111450863579
2_F7_42,48F_1,1e-4,gr.lagsat,1.7168715774651362
2_F8_42,14C_3,1e-4,gr.lagsat,3.0203283230573055
2_G10_42,30C_3,-0.5315599926321825,gr,0.7208489083251561
2_G11_42,14C_1,-0.5711685065007368,gr,0.7894158163568273
2_G2_42,6F_7,-0.3271051523003554,gr,0.552037347936752
2_G3_42,14C_3,-0.5578346236206378,gr,0.126501863959364
2_G4_42,30C_2,-0.5702458235144383,gr,0.6718061417459982
2_G5_42,48F_6,-0.6495113741831232,gr,0.5446602599504587
2_G6_42,14C_2,-0.7880088929213732,gr,0.5952588199625496
2_G7_42,48F_8,-0.5184426794970755,gr,0.5233613059841157
2_G8_42,14C_2,1e-4,gr.lagsat,9.709437150304867
2_G9_42,48F_6,-0.5837273696921101,gr,0.4767082203955887
