unique_well,treatment,mu,best.model,best.se
1_C10_42,48F_2,-0.4062738450509471,gr,0.3314673437702636
1_C11_42,14C_8,-0.765634067743879,gr,0.519694307091105
1_C2_42,6F_5,-0.4234837020808381,gr,0.27512485998976915
1_C3_42,30C_4,-1.0043082085236077,gr,0.49111297517745595
1_C4_42,6F_6,-0.6421456051789977,gr,0.2907641682037588
1_C6_42,48F_7,-0.8084556952634855,gr,0.34710764323812837
1_C7_42,48F_8,-0.7940985703123766,gr,0.4503356663999845
1_C8_42,48F_4,-0.6538600447598074,gr,0.4640542478712669
1_C9_42,30C_1,-0.6860648464509971,gr,0.5006129423515635
1_D10_42,14C_3,-1.077852252662189,gr,0.5058004076633472
1_D11_42,6F_3,-0.4466385509303178,gr,0.4459968536203503
1_D2_42,14C_6,-1.213965396515099,gr,0.4304957323509209
1_D3_42,30C_3,-0.7625859046195932,gr,0.42768847952273586
1_D4_42,48F_2,-0.5468945093269058,gr,0.3840199586106851
1_D5_42,14C_2,-1.0371268523284678,gr,0.38695508015799684
1_D6_42,14C_5,-1.1566130046252994,gr,0.35596903241406425
1_D7_42,6F_3,-0.7943851166527459,gr,0.37107510666676935
1_D8_42,6F_1,-0.41526225323109217,gr,0.4262841998818074
1_D9_42,30C_1,-0.6136534410066363,gr,0.6047167875445758
1_E10_42,48F_8,-0.380713043060048,gr,0.48116926593497955
1_E11_42,14C_8,-0.8590805693403715,gr,0.48846275580385207
1_E2_42,14C_4,-1.0283044409506485,gr,0.41537121876694366
1_E3_42,6F_2,-0.4827038508116853,gr,0.33146852533201954
1_E4_42,6F_8,-0.3266862133498062,gr,0.2798449550004375
1_E5_42,30C_7,-0.8247594554785912,gr,0.3630521666562416
1_E6_42,48F_3,-0.721424663957211,gr,0.4167586375766553
1_E7_42,30C_4,-0.730229012018552,gr,0.4366825889538213
1_E8_42,48F_4,-0.5087768108102421,gr,0.45252894159789486
1_E9_42,6F_8,-0.6091485872220262,gr,0.4445948382006728
1_F10_42,48F_4,-0.32066221225822966,gr,0.45189261798130664
1_F2_42,30C_4,-0.637737711446142,gr,0.40479160956573573
1_F3_42,6F_2,-0.5539966768343656,gr,0.38896437143225976
1_F4_42,30C_2,-0.7493754413292459,gr,0.44389710009460726
1_F5_42,6F_4,-0.5564485126259902,gr,0.39138762139200683
1_F6_42,6F_6,-0.5941513610290382,gr,0.4038803919647591
1_F7_42,14C_7,-1.2332185805283347,gr,0.4775081976059422
1_F8_42,30C_8,-0.7763028666238891,gr,0.5008946752419855
1_F9_42,30C_5,-0.7339956026904499,gr,0.549816854102415
1_G10_42,48F_2,-0.20982990605785837,gr,0.5398864996365699
1_G11_42,6F_5,-0.4539450090388546,gr,0.5896790970774027
1_G2_42,30C_7,-0.44130827260350824,gr,0.5422421361216269
1_G3_42,6F_6,-0.35392177297739447,gr,0.44286172066006674
1_G4_42,48F_7,-0.17447414249383036,gr,0.4741170880869422
1_G5_42,30C_6,-0.4536717830140956,gr,0.4965863739083301
1_G6_42,48F_3,-0.4253088553802905,gr,0.5898204253973557
1_G7_42,6F_4,-0.596013029437832,gr,0.48081218137954423
1_G8_42,6F_1,-0.5034875913522678,gr,0.4280836453140659
1_G9_42,48F_3,-0.3867058842976373,gr,0.4835169614699373
2_C10_42,30C_5,-0.7083784328909072,gr,0.8208048696323795
2_C11_42,30C_2,-0.23395423272376098,gr,0.5339710118670032
2_C2_42,30C_5,-0.8124889061708814,gr,0.5179587007446226
2_C4_42,6F_3,1e-4,gr.lagsat,8.883849397119631
2_C5_42,48F_5,-0.6806818632448396,gr,0.4666844060829794
2_C6_42,30C_8,-0.7534299013444484,gr,0.581917038564263
2_C7_42,6F_1,-0.8091971719319354,gr,0.6030815420160968
2_C8_42,14C_6,-1.1552550528296492,gr,0.6476840174455694
2_C9_42,14C_5,-0.6764811814502236,gr,0.6066998671434833
2_D10_42,6F_5,-0.8740578306059456,gr,0.6871769991922427
2_D11_42,14C_5,-0.7241567248116878,gr,0.7782956401225121
2_D2_42,14C_7,1e-4,gr.lagsat,2.889004401280076
2_D3_42,48F_5,-0.6823635110346822,gr,0.426019558037019
2_D4_42,30C_8,-0.6382561958827375,gr,0.4462542298738691
2_D5_42,14C_4,1e-4,gr.lagsat,2.0571336635492674
2_D6_42,48F_7,-0.7432115573692534,gr,0.497067707524912
2_D7_42,48F_6,-0.6410330513462705,gr,0.4444486625947992
2_D8_42,30C_6,1e-4,gr.lagsat,2.1168415836378918
