treatment,temp,predicted_growth,topt,rmax,tmax
14C_1,0,0.10833129229112815,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.1,0.1094631830940446,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.2,0.11060606622327246,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.30000000000000004,0.11176003632670141,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.4,0.11292518867468174,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.5,0.1141016191606287,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.6000000000000001,0.11528942430154401,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.7000000000000001,0.11648870123845287,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.8,0.117699547736754,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,0.9,0.11892206218648038,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1,0.12015634360246852,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.1,0.1214024916244343,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.2000000000000002,0.12266060651695235,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.3,0.12393078916933703,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.4000000000000001,0.12521314109542253,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.5,0.12650776443323944,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.6,0.12781476194458544,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.7000000000000002,0.12913423701448712,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.8,0.13046629365055112,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,1.9000000000000001,0.13181103648220094,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2,0.1331685707597971,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.1,0.13453900235363853,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.2,0.13592243775284096,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.3000000000000003,0.13731898406409074,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.4000000000000004,0.1387287490102703,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.5,0.14015184092895286,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.6,0.1415883687707628,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.7,0.1430384420975993,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.8000000000000003,0.14450217108071894,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,2.9000000000000004,0.14597966649867553,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3,0.14747103973511275,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.1,0.1489764027764066,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.2,0.15049586820915467,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.3000000000000003,0.1520295492175081,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.4000000000000004,0.1535775595803433,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.5,0.15514001366826957,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.6,0.15671702644046903,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.7,0.15830871344136518,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.8000000000000003,0.15991519079711627,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,3.9000000000000004,0.1615365752119299,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4,0.16317298396419444,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.1000000000000005,0.16482453490242385,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.2,0.1664913464410116,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.3,0.16817353755578937,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.4,0.16987122777938685,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.5,0.17158453719638794,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.6000000000000005,0.1733135864382793,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.7,0.1750584966781865,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.800000000000001,0.1768193896253939,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,4.9,0.17859638751964288,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5,0.18038961312520452,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.1000000000000005,0.18219918972472163,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.2,0.18402524111281499,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.300000000000001,0.18586789158945027,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.4,0.18772726595305844,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.5,0.18960348949340697,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.6000000000000005,0.19149668798421493,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.7,0.19340698767550749,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.800000000000001,0.19533451528570453,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,5.9,0.19727939799343794,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,6,0.19924176342909153,33.10889054228133,1.3796441310186336,41.13863709395563
14C_1,6.1000000000000005,0.20122173966605872,33.10889054228133,1.3796441310186336,41.13863709395563
